mesa;table
silla;chair
boligrafo;pen
libro;book
telofono;phone
computadora;computer
automovil;car
casa;house
perro;dog
gato;cat
correr;run
jugar;play
leer;read
escribir;write
hablar;speak
escuchar;listen
comer;eat
beber;drink
feliz;happy
triste;sad
enojado;angry
grande;big
peque˜o;small
alto;tall
bajo;short
rápido;fast
lento;slow
bonito;pretty
feo;ugly
caliente;hot
frio;cold
bueno;good
malo;bad
hermoso;beautiful
joven;young
viejo;old
amable;kind
malvado;mean
fuerte;strong
debil;weak
rapido;fast
temprano;early
tarde;late
derecho;right
izquierdo;left
arriba;up
abajo;down
cerca;near
lejos;far
hoy;today
ayer;yesterday
mañana;tomorrow
aqui;here
alla;there
en;on
sobre;over
entre;between
antes;before
despues;after
durante;during
para;for
desde;since
por;by
con;with
sin;without
y;and
o;or
pero;but
porque;because
si;if
mientras;while
cuando;when
donde;where
vivir;live
amor;love
revista;magazine
mercado;market
conocer;meet
mensaje;message
metodo;method
medio;middle
minuto;minute
momento;moment
dinero;money
mes;month
cantar;sing